Unnamed: 0,operation,clean,answer,corrupted,corrupted_answer,answer_idx,corrupted_idx
84594,+,291+240=,531,209+97=,306,20823,12879
84595,+,291+241=,532,121+220=,341,20711,16546
84596,+,291+242=,533,248+212=,460,21876,16551
84597,+,291+243=,534,222+162=,384,22467,12910
84598,+,291+244=,535,163+159=,322,20618,15805
84599,+,291+245=,536,235+298=,533,21600,21876
84600,+,291+246=,537,47+128=,175,19038,10005
84601,+,291+247=,538,62+55=,117,22600,8546
84602,+,291+248=,539,6+108=,114,23033,8011
84603,+,291+249=,540,205+200=,405,17048,16408
84604,+,291+250=,541,181+74=,255,22058,3192
84605,+,291+251=,542,33+152=,185,21791,9741
84606,+,291+252=,543,15+215=,230,19642,9870
84607,+,291+253=,544,59+60=,119,21239,9079
84608,+,291+254=,545,277+115=,392,20749,19695
84609,+,291+255=,546,149+166=,315,22048,15189
84610,+,291+256=,547,12+108=,120,23215,4364
84611,+,291+257=,548,237+283=,520,22287,15830
84612,+,291+258=,549,58+286=,344,22782,17451
84613,+,291+259=,550,132+16=,148,13506,10410
84614,+,291+260=,551,210+225=,435,21860,19305
84615,+,291+261=,552,137+265=,402,21478,16496
84616,+,291+262=,553,166+265=,431,22663,19852
84617,+,291+263=,554,162+196=,358,22303,17112
84618,+,291+264=,555,73+151=,224,14148,10697
84619,+,291+265=,556,258+145=,403,20866,13074
84620,+,291+266=,557,62+6=,68,23906,2614
84621,+,291+267=,558,184+274=,458,22895,21209
84622,+,291+268=,559,103+255=,358,22424,17112
84623,+,291+269=,560,184+257=,441,17698,18495
84624,+,291+270=,561,60+95=,155,20460,9992
84625,+,291+271=,562,155+256=,411,19242,17337
84626,+,291+272=,563,43+224=,267,21789,16567
84627,+,291+273=,564,67+286=,353,22210,17228
84628,+,291+274=,565,108+215=,323,20943,15726
84629,+,291+275=,566,200+294=,494,23477,22054
84630,+,291+276=,567,143+299=,442,19282,20502
84631,+,291+277=,568,40+219=,259,22049,15537
84632,+,291+278=,569,224+10=,234,23642,11727
84633,+,291+279=,570,273+95=,368,18712,19057
84634,+,291+280=,571,49+260=,309,22005,15500
84635,+,291+281=,572,233+130=,363,22468,18199
84636,+,291+282=,573,79+188=,267,22529,16567
84637,+,291+283=,574,24+204=,228,23402,14261
84638,+,291+284=,575,73+133=,206,21228,11056
84639,+,291+285=,576,237+237=,474,20758,21358
84640,+,291+286=,577,226+150=,376,23411,18322
84641,+,291+287=,578,188+242=,430,22915,14245
84642,+,291+288=,579,67+3=,70,24847,2031
84643,+,291+289=,580,5+39=,44,18216,2096
84644,+,291+290=,581,256+222=,478,23864,22086
84645,+,291+291=,582,81+236=,317,23670,16718
84646,+,291+292=,583,24+207=,231,23493,12245
84647,+,291+293=,584,42+196=,238,23816,13895
84648,+,291+294=,585,70+101=,171,21535,11123
84649,+,291+295=,586,151+281=,432,22345,16739
84650,+,291+296=,587,139+204=,343,22159,16522
84651,+,291+297=,588,195+71=,266,20691,15999
84652,+,291+298=,589,40+21=,61,22905,5547
84653,+,291+299=,590,217+191=,408,20615,18058
84654,+,292+0=,292,248+29=,277,16443,16367
84655,+,292+1=,293,20+66=,86,17313,4218
84656,+,292+2=,294,212+31=,243,17168,14052
84657,+,292+3=,295,59+179=,238,16780,13895
84658,+,292+4=,296,130+155=,285,17408,15935
84659,+,292+5=,297,202+277=,479,18163,21848
84660,+,292+6=,298,270+61=,331,17690,16707
84661,+,292+7=,299,7+30=,37,15531,1806
84662,+,292+8=,300,122+140=,262,3101,14274
84663,+,292+9=,301,9+151=,160,12405,6330
84664,+,292+10=,302,273+209=,482,13121,21984
84665,+,292+11=,303,186+209=,395,13236,19498
84666,+,292+12=,304,144+15=,159,12166,11068
84667,+,292+13=,305,92+259=,351,13364,18113
84668,+,292+14=,306,151+271=,422,12879,16460
84669,+,292+15=,307,228+154=,382,14777,18781
84670,+,292+16=,308,258+25=,283,14498,16085
84671,+,292+17=,309,297+152=,449,15500,21125
84672,+,292+18=,310,171+9=,180,12226,5245
84673,+,292+19=,311,289+117=,406,15134,17264
84674,+,292+20=,312,104+32=,136,13384,9795
84675,+,292+21=,313,277+34=,311,15231,15134
84676,+,292+22=,314,287+53=,340,16104,13679
84677,+,292+23=,315,298+206=,504,15189,18048
84678,+,292+24=,316,262+281=,543,15340,19642
84679,+,292+25=,317,235+276=,511,16718,18625
84680,+,292+26=,318,196+76=,272,17592,15741
84681,+,292+27=,319,165+43=,208,16874,12171
84682,+,292+28=,320,50+23=,73,9588,5958
84683,+,292+29=,321,69+100=,169,14423,11739
84684,+,292+30=,322,66+62=,128,15805,4386
84685,+,292+31=,323,164+200=,364,15726,15951
84686,+,292+32=,324,123+85=,208,16723,12171
84687,+,292+33=,325,151+125=,276,15257,16660
84688,+,292+34=,326,35+142=,177,17470,11242
84689,+,292+35=,327,243+293=,536,13817,21600
84690,+,292+36=,328,215+36=,251,16884,13860
84691,+,292+37=,329,249+139=,388,18196,19081
84692,+,292+38=,330,237+57=,294,10568,17168
84693,+,292+39=,331,286+294=,580,16707,18216
84694,+,292+40=,332,234+155=,389,17079,20422
84695,+,292+41=,333,284+294=,578,8765,22915
84696,+,292+42=,334,43+231=,274,17153,16590
84697,+,292+43=,335,158+21=,179,16596,11128
84698,+,292+44=,336,81+118=,199,17014,2550
84699,+,292+45=,337,273+270=,543,17609,19642
84700,+,292+46=,338,8+258=,266,18633,15999
84701,+,292+47=,339,61+271=,332,17887,17079
84702,+,292+48=,340,274+201=,475,13679,19799
84703,+,292+49=,341,284+70=,354,16546,18384
84704,+,292+50=,342,283+25=,308,17590,14498
84705,+,292+51=,343,297+165=,462,16522,20911
84706,+,292+52=,344,221+138=,359,17451,19192
84707,+,292+53=,345,198+97=,295,12901,16780
84708,+,292+54=,346,47+98=,145,18061,9591
84709,+,292+55=,347,106+73=,179,17678,11128
84710,+,292+56=,348,123+94=,217,19746,13460
84711,+,292+57=,349,80+174=,254,18634,12375
84712,+,292+58=,350,114+114=,228,8652,14261
84713,+,292+59=,351,33+64=,97,18113,3534
84714,+,292+60=,352,181+181=,362,16482,18509
84715,+,292+61=,353,180+153=,333,17228,8765
84716,+,292+62=,354,138+28=,166,18384,11247
84717,+,292+63=,355,128+120=,248,17306,14185
84718,+,292+64=,356,154+82=,236,18349,14087
84719,+,292+65=,357,253+254=,507,18520,20068
84720,+,292+66=,358,165+251=,416,17112,17763
84721,+,292+67=,359,298+5=,303,19192,13236
84722,+,292+68=,360,182+266=,448,6843,19956
84723,+,292+69=,361,224+28=,252,18277,12326
84724,+,292+70=,362,13+184=,197,18509,4468
84725,+,292+71=,363,255+251=,506,18199,19673
84726,+,292+72=,364,20+265=,285,15951,15935
84727,+,292+73=,365,290+57=,347,12676,17678
84728,+,292+74=,366,176+264=,440,18044,14868
84729,+,292+75=,367,217+262=,479,18775,21848
84730,+,292+76=,368,32+175=,207,19057,12060
84731,+,292+77=,369,117+274=,391,19929,19631
84732,+,292+78=,370,147+163=,310,14648,12226
84733,+,292+79=,371,147+147=,294,18650,17168
84734,+,292+80=,372,138+4=,142,17662,10239
84735,+,292+81=,373,81+246=,327,18017,13817
84736,+,292+82=,374,151+2=,153,18265,9800
84737,+,292+83=,375,160+39=,199,12935,2550
84738,+,292+84=,376,79+284=,363,18322,18199
84739,+,292+85=,377,197+114=,311,10898,15134
84740,+,292+86=,378,203+143=,346,19166,18061
84741,+,292+87=,379,238+105=,343,19867,16522
84742,+,292+88=,380,92+4=,96,13897,4161
84743,+,292+89=,381,235+145=,380,19162,13897
84744,+,292+90=,382,96+215=,311,18781,15134
84745,+,292+92=,384,239+28=,267,12910,16567
84746,+,292+93=,385,156+106=,262,18695,14274
84747,+,292+94=,386,270+202=,472,16481,21757
84748,+,292+95=,387,181+202=,383,20062,19230
84749,+,292+96=,388,112+252=,364,19081,15951
84750,+,292+97=,389,182+234=,416,20422,17763
84751,+,292+98=,390,118+291=,409,15515,12378
84752,+,292+99=,391,268+55=,323,19631,15726
84753,+,292+100=,392,250+138=,388,19695,19081
84754,+,292+101=,393,28+157=,185,18252,9741
84755,+,292+102=,394,38+244=,282,20077,16544
84756,+,292+103=,395,169+211=,380,19498,13897
84757,+,292+104=,396,15+174=,189,19615,9378
84758,+,292+105=,397,58+264=,322,20698,15805
84759,+,292+106=,398,194+67=,261,19838,15602
84760,+,292+107=,399,266+19=,285,18572,15935
84761,+,292+108=,400,242+6=,248,3443,14185
84762,+,292+109=,401,246+179=,425,10841,17837
84763,+,292+110=,402,191+262=,453,16496,20235
84764,+,292+111=,403,42+250=,292,13074,16443
84765,+,292+112=,404,116+114=,230,7507,9870
84766,+,292+113=,405,259+98=,357,16408,18520
84767,+,292+114=,406,132+239=,371,17264,18650
84768,+,292+115=,407,67+92=,159,18501,11068
84769,+,292+116=,408,150+223=,373,18058,18017
84770,+,292+117=,409,6+176=,182,12378,10828
84771,+,292+118=,410,54+95=,149,14487,10161
84772,+,292+119=,411,80+21=,101,17337,4645
84773,+,292+120=,412,254+212=,466,17574,21404
84774,+,292+121=,413,194+29=,223,19288,12533
84775,+,292+122=,414,298+241=,539,17448,23033
84776,+,292+123=,415,127+59=,186,18136,9714
84777,+,292+124=,416,277+38=,315,17763,15189
84778,+,292+125=,417,200+18=,218,19561,13302
84779,+,292+126=,418,42+253=,295,19770,16780
84780,+,292+127=,419,73+267=,340,19391,13679
84781,+,292+128=,420,299+41=,340,12819,13679
84782,+,292+129=,421,212+44=,256,18245,4146
84783,+,292+130=,422,170+205=,375,16460,12935
84784,+,292+131=,423,256+108=,364,19711,15951
84785,+,292+132=,424,134+55=,189,18517,9378
84786,+,292+133=,425,135+102=,237,17837,14590
84787,+,292+134=,426,15+244=,259,20363,15537
84788,+,292+135=,427,127+207=,334,20465,17153
84789,+,292+136=,428,235+30=,265,19140,14374
84790,+,292+137=,429,275+283=,558,16371,22895
84791,+,292+138=,430,273+262=,535,14245,20618
84792,+,292+139=,431,50+148=,198,19852,3753
84793,+,292+140=,432,215+262=,477,16739,21144
84794,+,292+141=,433,179+298=,477,20153,21144
84795,+,292+142=,434,94+182=,276,20165,16660
84796,+,292+143=,435,85+70=,155,19305,9992
84797,+,292+144=,436,267+234=,501,21299,14408
84798,+,292+145=,437,60+258=,318,18318,17592
84799,+,292+146=,438,197+57=,254,20596,12375
84800,+,292+147=,439,253+198=,451,20963,20360
84801,+,292+148=,440,0+268=,268,14868,16332
84802,+,292+149=,441,245+1=,246,18495,14205
84803,+,292+150=,442,275+7=,282,20502,16544
84804,+,292+151=,443,245+15=,260,17147,11387
84805,+,292+152=,444,270+247=,517,14870,22507
84806,+,292+153=,445,177+105=,282,19697,16544
84807,+,292+154=,446,4+164=,168,20385,8953
84808,+,292+155=,447,270+149=,419,20800,19391
84809,+,292+156=,448,137+113=,250,19956,5154
84810,+,292+157=,449,180+121=,301,21125,12405
84811,+,292+158=,450,290+133=,423,10617,19711
84812,+,292+159=,451,144+208=,352,20360,16482
84813,+,292+160=,452,69+45=,114,21098,8011
84814,+,292+161=,453,237+267=,504,20235,18048
84815,+,292+162=,454,220+160=,380,20555,13897
84816,+,292+163=,455,243+298=,541,20325,22058
84817,+,292+164=,456,299+43=,342,10961,17590
84818,+,292+165=,457,101+68=,169,21675,11739
84819,+,292+166=,458,151+104=,255,21209,3192
84820,+,292+167=,459,56+78=,134,22094,9565
84821,+,292+168=,460,227+154=,381,16551,19162
84822,+,292+169=,461,131+67=,198,19608,3753
84823,+,292+170=,462,260+97=,357,20911,18520
84824,+,292+171=,463,233+4=,237,21290,14590
84825,+,292+172=,464,261+168=,429,21033,16371
84826,+,292+173=,465,236+87=,323,19988,15726
84827,+,292+174=,466,112+46=,158,21404,11286
84828,+,292+175=,467,56+114=,170,20419,8258
84829,+,292+176=,468,249+165=,414,20304,17448
84830,+,292+177=,469,265+200=,465,21330,19988
84831,+,292+178=,470,63+267=,330,17711,10568
84832,+,292+179=,471,213+185=,398,20617,19838
84833,+,292+180=,472,39+231=,270,21757,10914
84834,+,292+181=,473,18+273=,291,21505,17335
84835,+,292+182=,474,254+245=,499,21358,18162
84836,+,292+183=,475,12+211=,223,19799,12533
84837,+,292+184=,476,163+292=,455,22191,20325
84838,+,292+185=,477,25+143=,168,21144,8953
84839,+,292+186=,478,34+162=,196,22086,5162
84840,+,292+187=,479,119+96=,215,21848,12112
84841,+,292+188=,480,289+268=,557,11738,23906
84842,+,292+189=,481,291+235=,526,21235,22593
84843,+,292+190=,482,131+46=,177,21984,11242
84844,+,292+191=,483,115+215=,330,21884,10568
84845,+,292+192=,484,5+94=,99,20339,1484
84846,+,292+193=,485,105+237=,342,19773,17590
84847,+,292+194=,486,255+55=,310,21511,12226
84848,+,292+195=,487,215+127=,342,22184,17590
84849,+,292+196=,488,103+238=,341,21310,16546
84850,+,292+197=,489,293+144=,437,22418,18318
84851,+,292+198=,490,181+267=,448,18518,19956
84852,+,292+199=,491,296+210=,506,21824,19673
84853,+,292+200=,492,65+4=,69,21776,3076
84854,+,292+201=,493,181+153=,334,22741,17153
84855,+,292+202=,494,268+27=,295,22054,16780
84856,+,292+203=,495,111+238=,349,21038,18634
84857,+,292+204=,496,281+160=,441,19447,18495
84858,+,292+205=,497,292+209=,501,22640,14408
84859,+,292+206=,498,68+11=,79,21962,4643
84860,+,292+207=,499,40+273=,313,18162,15231
84861,+,292+208=,500,103+209=,312,2636,13384
84862,+,292+209=,501,123+190=,313,14408,15231
84863,+,292+210=,502,299+10=,309,17824,15500
84864,+,292+211=,503,166+282=,448,17735,19956
84865,+,292+212=,504,158+247=,405,18048,16408
84866,+,292+213=,505,248+138=,386,17786,16481
84867,+,292+214=,506,171+183=,354,19673,18384
84868,+,292+215=,507,75+166=,241,20068,13341
84869,+,292+216=,508,140+108=,248,19869,14185
84870,+,292+217=,509,101+291=,392,12448,19695
84871,+,292+218=,510,123+280=,403,15633,13074
84872,+,292+219=,511,27+255=,282,18625,16544
84873,+,292+220=,512,75+173=,248,8358,14185
84874,+,292+221=,513,119+57=,176,21164,10967
84875,+,292+222=,514,59+149=,208,20998,12171
84876,+,292+223=,515,193+105=,298,19633,17690
84877,+,292+224=,516,268+19=,287,20571,17897
84878,+,292+225=,517,281+17=,298,22507,17690
84879,+,292+226=,518,130+198=,328,21312,16884
84880,+,292+227=,519,276+157=,433,21851,20153
84881,+,292+228=,520,204+159=,363,15830,18199
84882,+,292+229=,521,182+260=,442,20767,20502
84883,+,292+230=,522,9+202=,211,20936,11483
84884,+,292+231=,523,274+155=,429,21123,16371
84885,+,292+232=,524,52+101=,153,21177,9800
84886,+,292+233=,525,184+191=,375,18415,12935
84887,+,292+234=,526,119+86=,205,22593,10866
84888,+,292+235=,527,87+217=,304,22369,12166
84889,+,292+236=,528,40+36=,76,21458,4767
84890,+,292+237=,529,294+129=,423,21618,19711
84891,+,292+238=,530,214+115=,329,17252,18196
84892,+,292+239=,531,76+203=,279,20823,17267
84893,+,292+240=,532,269+214=,483,20711,21884
84894,+,292+241=,533,74+182=,256,21876,4146
84895,+,292+242=,534,47+157=,204,22467,7854
84896,+,292+243=,535,239+11=,250,20618,5154
84897,+,292+244=,536,132+277=,409,21600,12378
84898,+,292+245=,537,217+86=,303,19038,13236
84899,+,292+246=,538,5+223=,228,22600,14261
84900,+,292+247=,539,287+185=,472,23033,21757
84901,+,292+248=,540,202+246=,448,17048,19956
84902,+,292+249=,541,229+148=,377,22058,10898
84903,+,292+250=,542,15+122=,137,21791,10148
84904,+,292+251=,543,151+241=,392,19642,19695
84905,+,292+252=,544,78+231=,309,21239,15500
84906,+,292+253=,545,258+35=,293,20749,17313
84907,+,292+254=,546,28+56=,84,22048,5833
84908,+,292+255=,547,283+46=,329,23215,18196
84909,+,292+256=,548,289+155=,444,22287,14870
84910,+,292+257=,549,34+157=,191,22782,7529
84911,+,292+258=,550,125+189=,314,13506,16104
84912,+,292+259=,551,214+229=,443,21860,17147
84913,+,292+260=,552,162+106=,268,21478,16332
84914,+,292+261=,553,192+11=,203,22663,9639
84915,+,292+262=,554,70+86=,156,22303,10132
84916,+,292+263=,555,18+163=,181,14148,10562
84917,+,292+264=,556,183+228=,411,20866,17337
84918,+,292+265=,557,261+30=,291,23906,17335
84919,+,292+266=,558,151+39=,190,22895,7028
84920,+,292+267=,559,56+120=,176,22424,10967
84921,+,292+268=,560,113+145=,258,17698,15966
84922,+,292+269=,561,293+147=,440,20460,14868
84923,+,292+270=,562,160+21=,181,19242,10562
84924,+,292+271=,563,22+207=,229,21789,14378
84925,+,292+272=,564,128+63=,191,22210,7529
84926,+,292+273=,565,238+197=,435,20943,19305
84927,+,292+274=,566,56+67=,123,23477,4513
84928,+,292+275=,567,276+185=,461,19282,19608
84929,+,292+276=,568,29+130=,159,22049,11068
84930,+,292+277=,569,131+296=,427,23642,20465
84931,+,292+278=,570,100+131=,231,18712,12245
84932,+,292+279=,571,133+10=,143,22005,10290
84933,+,292+280=,572,126+275=,401,22468,10841
84934,+,292+281=,573,72+239=,311,22529,15134
84935,+,292+282=,574,151+63=,214,23402,11584
84936,+,292+283=,575,252+10=,262,21228,14274
84937,+,292+284=,576,290+215=,505,20758,17786
84938,+,292+285=,577,183+83=,266,23411,15999
84939,+,292+286=,578,195+142=,337,22915,17609
84940,+,292+287=,579,82+219=,301,24847,12405
84941,+,292+288=,580,62+194=,256,18216,4146
84942,+,292+289=,581,137+213=,350,23864,8652
84943,+,292+290=,582,160+16=,176,23670,10967
84944,+,292+291=,583,273+58=,331,23493,16707
84945,+,292+292=,584,287+1=,288,23816,15287
84946,+,292+293=,585,146+28=,174,21535,11771
84947,+,292+294=,586,253+37=,290,22345,13754
84948,+,292+295=,587,67+15=,82,22159,6086
84949,+,292+296=,588,163+272=,435,20691,19305
84950,+,292+297=,589,275+42=,317,22905,16718
84951,+,292+298=,590,234+261=,495,20615,21038
84952,+,292+299=,591,102+198=,300,24380,3101
84953,+,293+0=,293,102+284=,386,17313,16481
84954,+,293+1=,294,78+46=,124,17168,8874
84955,+,293+2=,295,19+131=,150,16780,3965
84956,+,293+3=,296,278+281=,559,17408,22424
84957,+,293+4=,297,299+202=,501,18163,14408
84958,+,293+5=,298,197+292=,489,17690,22418
84959,+,293+6=,299,216+221=,437,15531,18318
84960,+,293+7=,300,223+112=,335,3101,16596
84961,+,293+8=,301,212+129=,341,12405,16546
84962,+,293+9=,302,74+147=,221,13121,12425
84963,+,293+10=,303,80+269=,349,13236,18634
84964,+,293+11=,304,240+134=,374,12166,18265
84965,+,293+12=,305,276+136=,412,13364,17574
84966,+,293+13=,306,189+49=,238,12879,13895
84967,+,293+14=,307,278+9=,287,14777,17897
84968,+,293+15=,308,164+173=,337,14498,17609
84969,+,293+16=,309,118+64=,182,15500,10828
84970,+,293+17=,310,232+40=,272,12226,15741
84971,+,293+18=,311,153+280=,433,15134,20153
84972,+,293+19=,312,182+95=,277,13384,16367
84973,+,293+20=,313,49+180=,229,15231,14378
84974,+,293+21=,314,51+267=,318,16104,17592
84975,+,293+22=,315,139+182=,321,15189,14423
84976,+,293+23=,316,279+171=,450,15340,10617
84977,+,293+24=,317,77+11=,88,16718,2421
84978,+,293+25=,318,1+56=,57,17592,3226
84979,+,293+26=,319,192+96=,288,16874,15287
84980,+,293+27=,320,119+5=,124,9588,8874
84981,+,293+28=,321,218+254=,472,14423,21757
84982,+,293+29=,322,153+297=,450,15805,10617
84983,+,293+30=,323,239+121=,360,15726,6843
84984,+,293+31=,324,268+133=,401,16723,10841
84985,+,293+32=,325,265+163=,428,15257,19140
84986,+,293+33=,326,253+272=,525,17470,18415
84987,+,293+34=,327,68+183=,251,13817,13860
84988,+,293+35=,328,98+220=,318,16884,17592
84989,+,293+36=,329,39+229=,268,18196,16332
84990,+,293+37=,330,28+43=,71,10568,6028
84991,+,293+38=,331,58+242=,300,16707,3101
84992,+,293+39=,332,146+14=,160,17079,6330
84993,+,293+40=,333,204+75=,279,8765,17267
84994,+,293+41=,334,140+31=,171,17153,11123
84995,+,293+42=,335,42+72=,114,16596,8011
84996,+,293+43=,336,64+160=,224,17014,10697
84997,+,293+44=,337,259+239=,498,17609,21962
84998,+,293+45=,338,34+266=,300,18633,3101
84999,+,293+46=,339,117+280=,397,17887,20698
85000,+,293+47=,340,125+124=,249,13679,14735
85001,+,293+48=,341,95+188=,283,16546,16085
85002,+,293+49=,342,256+75=,331,17590,16707
85003,+,293+50=,343,183+180=,363,16522,18199
85004,+,293+51=,344,220+278=,498,17451,21962
85005,+,293+52=,345,218+272=,490,12901,18518
85006,+,293+53=,346,281+30=,311,18061,15134
85007,+,293+54=,347,200+230=,430,17678,14245
85008,+,293+55=,348,72+41=,113,19746,8190
85009,+,293+56=,349,123+64=,187,18634,9674
85010,+,293+57=,350,214+231=,445,8652,19697
85011,+,293+58=,351,177+7=,184,18113,10336
85012,+,293+59=,352,115+92=,207,16482,12060
85013,+,293+60=,353,277+276=,553,17228,22663
85014,+,293+61=,354,219+0=,219,18384,13762
85015,+,293+62=,355,67+236=,303,17306,13236
85016,+,293+63=,356,218+245=,463,18349,21290
85017,+,293+64=,357,99+99=,198,18520,3753
85018,+,293+65=,358,292+201=,493,17112,22741
85019,+,293+66=,359,232+6=,238,19192,13895
85020,+,293+67=,360,281+284=,565,6843,20943
85021,+,293+68=,361,55+262=,317,18277,16718
85022,+,293+69=,362,239+70=,309,18509,15500
85023,+,293+70=,363,85+268=,353,18199,17228
85024,+,293+71=,364,42+254=,296,15951,17408
85025,+,293+72=,365,164+293=,457,12676,21675
85026,+,293+73=,366,153+197=,350,18044,8652
85027,+,293+74=,367,99+82=,181,18775,10562
85028,+,293+75=,368,34+207=,241,19057,13341
85029,+,293+76=,369,50+65=,115,19929,7322
85030,+,293+77=,370,153+179=,332,14648,17079
85031,+,293+78=,371,276+162=,438,18650,20596
85032,+,293+79=,372,8+9=,17,17662,1114
85033,+,293+80=,373,195+33=,228,18017,14261
85034,+,293+81=,374,114+64=,178,18265,11256
85035,+,293+82=,375,206+30=,236,12935,14087
85036,+,293+83=,376,259+34=,293,18322,17313
85037,+,293+84=,377,236+289=,525,10898,18415
85038,+,293+85=,378,117+295=,412,19166,17574
85039,+,293+86=,379,205+279=,484,19867,20339
85040,+,293+87=,380,10+41=,51,13897,3971
85041,+,293+88=,381,91+48=,139,19162,10125
85042,+,293+89=,382,118+21=,139,18781,10125
85043,+,293+90=,383,66+90=,156,19230,10132
85044,+,293+92=,385,151+245=,396,18695,19615
85045,+,293+93=,386,111+1=,112,16481,7261
85046,+,293+94=,387,164+71=,235,20062,12422
85047,+,293+95=,388,4+48=,52,19081,4103
85048,+,293+96=,389,10+100=,110,20422,5120
85049,+,293+97=,390,19+218=,237,15515,14590
85050,+,293+98=,391,138+293=,431,19631,19852
85051,+,293+99=,392,115+210=,325,19695,15257
85052,+,293+100=,393,34+159=,193,18252,7285
85053,+,293+101=,394,164+299=,463,20077,21290
85054,+,293+102=,395,251+43=,294,19498,17168
85055,+,293+103=,396,46+274=,320,19615,9588
85056,+,293+104=,397,72+255=,327,20698,13817
85057,+,293+105=,398,87+218=,305,19838,13364
85058,+,293+106=,399,187+194=,381,18572,19162
85059,+,293+107=,400,69+85=,154,3443,10559
85060,+,293+108=,401,94+53=,147,10841,10288
85061,+,293+109=,402,37+97=,134,16496,9565
85062,+,293+110=,403,158+202=,360,13074,6843
85063,+,293+111=,404,197+221=,418,7507,19770
85064,+,293+112=,405,70+106=,176,16408,10967
85065,+,293+113=,406,47+187=,234,17264,11727
85066,+,293+114=,407,269+108=,377,18501,10898
85067,+,293+115=,408,49+15=,64,18058,1227
85068,+,293+116=,409,165+274=,439,12378,20963
85069,+,293+117=,410,148+250=,398,14487,19838
85070,+,293+118=,411,132+137=,269,17337,16955
85071,+,293+119=,412,233+219=,452,17574,21098
85072,+,293+120=,413,69+271=,340,19288,13679
85073,+,293+121=,414,158+54=,212,17448,11227
85074,+,293+122=,415,118+271=,389,18136,20422
85075,+,293+123=,416,226+193=,419,17763,19391
85076,+,293+124=,417,268+292=,560,19561,17698
85077,+,293+125=,418,2+121=,123,19770,4513
85078,+,293+126=,419,249+296=,545,19391,20749
85079,+,293+127=,420,207+100=,307,12819,14777
85080,+,293+128=,421,11+217=,228,18245,14261
85081,+,293+129=,422,27+126=,153,16460,9800
85082,+,293+130=,423,168+50=,218,19711,13302
85083,+,293+131=,424,186+57=,243,18517,14052
85084,+,293+132=,425,191+124=,315,17837,15189
85085,+,293+133=,426,271+121=,392,20363,19695
85086,+,293+134=,427,202+213=,415,20465,18136
85087,+,293+135=,428,62+40=,102,19140,4278
85088,+,293+136=,429,52+210=,262,16371,14274
85089,+,293+137=,430,122+216=,338,14245,18633
85090,+,293+138=,431,69+115=,184,19852,10336
85091,+,293+139=,432,97+133=,230,16739,9870
85092,+,293+140=,433,244+163=,407,20153,18501
85093,+,293+141=,434,151+207=,358,20165,17112
85094,+,293+142=,435,201+29=,230,19305,9870
85095,+,293+143=,436,65+261=,326,21299,17470
85096,+,293+144=,437,218+183=,401,18318,10841
85097,+,293+145=,438,270+62=,332,20596,17079
85098,+,293+146=,439,17+27=,44,20963,2096
85099,+,293+147=,440,181+291=,472,14868,21757
85100,+,293+148=,441,61+172=,233,18495,12994
85101,+,293+149=,442,44+265=,309,20502,15500
85102,+,293+150=,443,53+4=,57,17147,3226
85103,+,293+151=,444,271+77=,348,14870,19746
85104,+,293+152=,445,181+73=,254,19697,12375
85105,+,293+153=,446,175+247=,422,20385,16460
85106,+,293+154=,447,192+163=,355,20800,17306
85107,+,293+155=,448,225+258=,483,19956,21884
85108,+,293+156=,449,229+286=,515,21125,19633
85109,+,293+157=,450,124+150=,274,10617,16590
85110,+,293+158=,451,87+228=,315,20360,15189
85111,+,293+159=,452,77+280=,357,21098,18520
85112,+,293+160=,453,203+5=,208,20235,12171
85113,+,293+161=,454,271+280=,551,20555,21860
85114,+,293+162=,455,154+288=,442,20325,20502
85115,+,293+163=,456,294+108=,402,10961,16496
85116,+,293+164=,457,136+22=,158,21675,11286
85117,+,293+165=,458,169+290=,459,21209,22094
85118,+,293+166=,459,75+250=,325,22094,15257
85119,+,293+167=,460,268+204=,472,16551,21757
85120,+,293+168=,461,91+61=,152,19608,9756
85121,+,293+169=,462,237+278=,515,20911,19633
85122,+,293+170=,463,185+226=,411,21290,17337
85123,+,293+171=,464,50+265=,315,21033,15189
85124,+,293+172=,465,109+101=,210,19988,8848
85125,+,293+173=,466,144+241=,385,21404,18695
85126,+,293+174=,467,70+254=,324,20419,16723
85127,+,293+175=,468,197+280=,477,20304,21144
85128,+,293+176=,469,155+210=,365,21330,12676
85129,+,293+177=,470,298+124=,422,17711,16460
85130,+,293+178=,471,176+220=,396,20617,19615
85131,+,293+179=,472,106+207=,313,21757,15231
85132,+,293+180=,473,8+12=,20,21505,508
85133,+,293+181=,474,19+34=,53,21358,4331
85134,+,293+182=,475,280+231=,511,19799,18625
85135,+,293+183=,476,278+265=,543,22191,19642
85136,+,293+184=,477,138+51=,189,21144,9378
85137,+,293+185=,478,217+179=,396,22086,19615
85138,+,293+186=,479,292+24=,316,21848,15340
85139,+,293+187=,480,46+70=,116,11738,8027
85140,+,293+188=,481,237+9=,246,21235,14205
85141,+,293+189=,482,55+191=,246,21984,14205
85142,+,293+190=,483,296+41=,337,21884,17609
85143,+,293+191=,484,173+30=,203,20339,9639
85144,+,293+192=,485,56+30=,86,19773,4218
85145,+,293+193=,486,237+256=,493,21511,22741
85146,+,293+194=,487,66+64=,130,22184,5894
85147,+,293+195=,488,245+11=,256,21310,4146
85148,+,293+196=,489,96+118=,214,22418,11584
85149,+,293+197=,490,270+165=,435,18518,19305
85150,+,293+198=,491,3+92=,95,21824,2721
85151,+,293+199=,492,241+7=,248,21776,14185
