clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 catfish and mahi mahi are two types of,catfish,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]", loafers and moccasins are two types of,loafers,moccasins,footwear,['footwear'],[43463]
 catfish and blowfish are two types of,catfish,blowfish,fish,"['fish', 'fishes']","[5916, 49765]", colonels and corporals are two types of,colonels,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 catfish and guppy are two types of,catfish,guppy,fish,"['fish', 'fishes']","[5916, 49765]", mooses and hamsters are two types of,mooses,hamsters,animal,['animals'],[4695]
 catfish and halibut are two types of,catfish,halibut,fish,"['fish', 'fishes']","[5916, 49765]", redwoods and sycamores are two types of,redwoods,sycamores,tree,['trees'],[7150]
 catfish and perch are two types of,catfish,perch,fish,"['fish', 'fishes']","[5916, 49765]", millenniums and secs are two types of,millenniums,secs,time,"['time', 'units']","[640, 4991]"
 catfish and rainbow trout are two types of,catfish,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]", green beans and turnips are two types of,green beans,turnips,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 catfish and marlin are two types of,catfish,marlin,fish,"['fish', 'fishes']","[5916, 49765]", congressmen and vice presidents are two types of,congressmen,vice presidents,politician,"['elected', 'politicians']","[7018, 7602]"
 catfish and minnow are two types of,catfish,minnow,fish,"['fish', 'fishes']","[5916, 49765]", dimes and pesoes are two types of,dimes,pesoes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 catfish and pike are two types of,catfish,pike,fish,"['fish', 'fishes']","[5916, 49765]", elms and dogwoods are two types of,elms,dogwoods,tree,['trees'],[7150]
 catfish and piranha are two types of,catfish,piranha,fish,"['fish', 'fishes']","[5916, 49765]", firs and spruces are two types of,firs,spruces,tree,['trees'],[7150]
 catfish and snapper are two types of,catfish,snapper,fish,"['fish', 'fishes']","[5916, 49765]", green beans and cucumbers are two types of,green beans,cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 tuna and salmon are two types of,tuna,salmon,fish,"['fish', 'fishes']","[5916, 49765]", wind and snow are two types of,wind,snow,weather,"['weather', 'natural']","[6193, 3288]"
 tuna and trout are two types of,tuna,trout,fish,"['fish', 'fishes']","[5916, 49765]", vandalism and rape are two types of,vandalism,rape,crime,"['crimes', 'crime']","[6741, 4065]"
 tuna and goldfish are two types of,tuna,goldfish,fish,"['fish', 'fishes']","[5916, 49765]", rape and drug smuggling are two types of,rape,drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]"
 tuna and bass are two types of,tuna,bass,fish,"['fish', 'fishes']","[5916, 49765]", arson and assault are two types of,arson,assault,crime,"['crimes', 'crime']","[6741, 4065]"
 tuna and catfish are two types of,tuna,catfish,fish,"['fish', 'fishes']","[5916, 49765]", mice and squirrels are two types of,mice,squirrels,animal,['animals'],[4695]
 tuna and flounder are two types of,tuna,flounder,fish,"['fish', 'fishes']","[5916, 49765]", hail and tsunamis are two types of,hail,tsunamis,weather,"['weather', 'natural']","[6193, 3288]"
 tuna and swordfish are two types of,tuna,swordfish,fish,"['fish', 'fishes']","[5916, 49765]", days and secs are two types of,days,secs,time,"['time', 'units']","[640, 4991]"
 tuna and herring are two types of,tuna,herring,fish,"['fish', 'fishes']","[5916, 49765]", caves and huts are two types of,caves,huts,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 tuna and carp are two types of,tuna,carp,fish,"['fish', 'fishes']","[5916, 49765]", representatives and presidents are two types of,representatives,presidents,politician,"['elected', 'politicians']","[7018, 7602]"
 tuna and cod are two types of,tuna,cod,fish,"['fish', 'fishes']","[5916, 49765]", squash and peppers are two types of,squash,peppers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 tuna and angelfish are two types of,tuna,angelfish,fish,"['fish', 'fishes']","[5916, 49765]", hotels and condominiums are two types of,hotels,condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 tuna and mahi mahi are two types of,tuna,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]", guitars and tambourines are two types of,guitars,tambourines,instrument,"['musical', 'instruments']","[10530, 12834]"
 tuna and blowfish are two types of,tuna,blowfish,fish,"['fish', 'fishes']","[5916, 49765]", diamonds and garnets are two types of,diamonds,garnets,gem,"['gem', 'gems']","[16840, 23685]"
 tuna and guppy are two types of,tuna,guppy,fish,"['fish', 'fishes']","[5916, 49765]", folk and new age are two types of,folk,new age,music,['music'],[2647]
 tuna and halibut are two types of,tuna,halibut,fish,"['fish', 'fishes']","[5916, 49765]", tents and dormitories are two types of,tents,dormitories,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 tuna and perch are two types of,tuna,perch,fish,"['fish', 'fishes']","[5916, 49765]", beans and cucumbers are two types of,beans,cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 tuna and rainbow trout are two types of,tuna,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]", meters and decimeters are two types of,meters,decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 tuna and marlin are two types of,tuna,marlin,fish,"['fish', 'fishes']","[5916, 49765]", heels and slippers are two types of,heels,slippers,footwear,['footwear'],[43463]
 tuna and minnow are two types of,tuna,minnow,fish,"['fish', 'fishes']","[5916, 49765]", peppers and cucumbers are two types of,peppers,cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 tuna and pike are two types of,tuna,pike,fish,"['fish', 'fishes']","[5916, 49765]", potatoes and cauliflower are two types of,potatoes,cauliflower,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 tuna and piranha are two types of,tuna,piranha,fish,"['fish', 'fishes']","[5916, 49765]", onions and cabbages are two types of,onions,cabbages,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 tuna and snapper are two types of,tuna,snapper,fish,"['fish', 'fishes']","[5916, 49765]", centuries and eons are two types of,centuries,eons,time,"['time', 'units']","[640, 4991]"
 flounder and salmon are two types of,flounder,salmon,fish,"['fish', 'fishes']","[5916, 49765]", cymbals and keyboards are two types of,cymbals,keyboards,instrument,"['musical', 'instruments']","[10530, 12834]"
 flounder and trout are two types of,flounder,trout,fish,"['fish', 'fishes']","[5916, 49765]", amethysts and diamonds are two types of,amethysts,diamonds,gem,"['gem', 'gems']","[16840, 23685]"
 flounder and goldfish are two types of,flounder,goldfish,fish,"['fish', 'fishes']","[5916, 49765]", great grandpas and second cousins are two types of,great grandpas,second cousins,relative,"['relatives', 'family']","[12772, 1641]"
 flounder and bass are two types of,flounder,bass,fish,"['fish', 'fishes']","[5916, 49765]", carpenters and managers are two types of,carpenters,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 flounder and catfish are two types of,flounder,catfish,fish,"['fish', 'fishes']","[5916, 49765]", water polo and gymnastics are two types of,water polo,gymnastics,sport,['sports'],[5701]
 flounder and tuna are two types of,flounder,tuna,fish,"['fish', 'fishes']","[5916, 49765]", saxophones and guitars are two types of,saxophones,guitars,instrument,"['musical', 'instruments']","[10530, 12834]"
 flounder and swordfish are two types of,flounder,swordfish,fish,"['fish', 'fishes']","[5916, 49765]", brass knuckles and maces are two types of,brass knuckles,maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 flounder and herring are two types of,flounder,herring,fish,"['fish', 'fishes']","[5916, 49765]", carpenters and accountants are two types of,carpenters,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 flounder and carp are two types of,flounder,carp,fish,"['fish', 'fishes']","[5916, 49765]", mopeds and vans are two types of,mopeds,vans,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 flounder and cod are two types of,flounder,cod,fish,"['fish', 'fishes']","[5916, 49765]", underwears and bras are two types of,underwears,bras,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 flounder and angelfish are two types of,flounder,angelfish,fish,"['fish', 'fishes']","[5916, 49765]", dormitories and condominiums are two types of,dormitories,condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 flounder and mahi mahi are two types of,flounder,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]", brass knuckles and bazookas are two types of,brass knuckles,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 flounder and blowfish are two types of,flounder,blowfish,fish,"['fish', 'fishes']","[5916, 49765]", flip flops and running shoes are two types of,flip flops,running shoes,footwear,['footwear'],[43463]
 flounder and guppy are two types of,flounder,guppy,fish,"['fish', 'fishes']","[5916, 49765]", orchids and tulips are two types of,orchids,tulips,flower,"['flowers', 'flowering']","[12734, 48573]"
 flounder and halibut are two types of,flounder,halibut,fish,"['fish', 'fishes']","[5916, 49765]", monsoons and blizzards are two types of,monsoons,blizzards,weather,"['weather', 'natural']","[6193, 3288]"
 flounder and perch are two types of,flounder,perch,fish,"['fish', 'fishes']","[5916, 49765]", R&B and heavy metal are two types of,R&B,heavy metal,music,['music'],[2647]
 flounder and rainbow trout are two types of,flounder,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]", grasshoppers and wasps are two types of,grasshoppers,wasps,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 flounder and marlin are two types of,flounder,marlin,fish,"['fish', 'fishes']","[5916, 49765]", carpenters and physical therapists are two types of,carpenters,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 flounder and minnow are two types of,flounder,minnow,fish,"['fish', 'fishes']","[5916, 49765]", liras and yens are two types of,liras,yens,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 flounder and pike are two types of,flounder,pike,fish,"['fish', 'fishes']","[5916, 49765]", loveseats and stools are two types of,loveseats,stools,furniture,['furniture'],[13091]
 flounder and piranha are two types of,flounder,piranha,fish,"['fish', 'fishes']","[5916, 49765]", ottomen and armoires are two types of,ottomen,armoires,furniture,['furniture'],[13091]
 flounder and snapper are two types of,flounder,snapper,fish,"['fish', 'fishes']","[5916, 49765]", sunflowers and lilies are two types of,sunflowers,lilies,flower,"['flowers', 'flowering']","[12734, 48573]"
 swordfish and salmon are two types of,swordfish,salmon,fish,"['fish', 'fishes']","[5916, 49765]", pines and palms are two types of,pines,palms,tree,['trees'],[7150]
 swordfish and trout are two types of,swordfish,trout,fish,"['fish', 'fishes']","[5916, 49765]", lizards and goats are two types of,lizards,goats,animal,['animals'],[4695]
 swordfish and goldfish are two types of,swordfish,goldfish,fish,"['fish', 'fishes']","[5916, 49765]", cheerleading and lacrosse are two types of,cheerleading,lacrosse,sport,['sports'],[5701]
 swordfish and bass are two types of,swordfish,bass,fish,"['fish', 'fishes']","[5916, 49765]", robins and chickens are two types of,robins,chickens,bird,"['birds', 'bird']","[10087, 6512]"
 swordfish and catfish are two types of,swordfish,catfish,fish,"['fish', 'fishes']","[5916, 49765]", tugboats and kayaks are two types of,tugboats,kayaks,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 swordfish and tuna are two types of,swordfish,tuna,fish,"['fish', 'fishes']","[5916, 49765]", rubies and diamonds are two types of,rubies,diamonds,gem,"['gem', 'gems']","[16840, 23685]"
 swordfish and flounder are two types of,swordfish,flounder,fish,"['fish', 'fishes']","[5916, 49765]", tepees and condominiums are two types of,tepees,condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 swordfish and herring are two types of,swordfish,herring,fish,"['fish', 'fishes']","[5916, 49765]", rubies and opals are two types of,rubies,opals,gem,"['gem', 'gems']","[16840, 23685]"
 swordfish and carp are two types of,swordfish,carp,fish,"['fish', 'fishes']","[5916, 49765]", maces and swords are two types of,maces,swords,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 swordfish and cod are two types of,swordfish,cod,fish,"['fish', 'fishes']","[5916, 49765]", mansions and tents are two types of,mansions,tents,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 swordfish and angelfish are two types of,swordfish,angelfish,fish,"['fish', 'fishes']","[5916, 49765]", garnets and emeralds are two types of,garnets,emeralds,gem,"['gem', 'gems']","[16840, 23685]"
 swordfish and mahi mahi are two types of,swordfish,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]", irides and daffodils are two types of,irides,daffodils,flower,"['flowers', 'flowering']","[12734, 48573]"
 swordfish and blowfish are two types of,swordfish,blowfish,fish,"['fish', 'fishes']","[5916, 49765]", uncles and aunts are two types of,uncles,aunts,relative,"['relatives', 'family']","[12772, 1641]"
 swordfish and guppy are two types of,swordfish,guppy,fish,"['fish', 'fishes']","[5916, 49765]", cardinals and owls are two types of,cardinals,owls,bird,"['birds', 'bird']","[10087, 6512]"
 swordfish and halibut are two types of,swordfish,halibut,fish,"['fish', 'fishes']","[5916, 49765]", dogwoods and weeping willows are two types of,dogwoods,weeping willows,tree,['trees'],[7150]
 swordfish and perch are two types of,swordfish,perch,fish,"['fish', 'fishes']","[5916, 49765]", nanometers and light years are two types of,nanometers,light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 swordfish and rainbow trout are two types of,swordfish,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]", pliers and tape measures are two types of,pliers,tape measures,tool,['tools'],[4899]
 swordfish and marlin are two types of,swordfish,marlin,fish,"['fish', 'fishes']","[5916, 49765]", cleats and running shoes are two types of,cleats,running shoes,footwear,['footwear'],[43463]
 swordfish and minnow are two types of,swordfish,minnow,fish,"['fish', 'fishes']","[5916, 49765]", gemstones and quartzs are two types of,gemstones,quartzs,gem,"['gem', 'gems']","[16840, 23685]"
 swordfish and pike are two types of,swordfish,pike,fish,"['fish', 'fishes']","[5916, 49765]", thunderstorms and tornados are two types of,thunderstorms,tornados,weather,"['weather', 'natural']","[6193, 3288]"
 swordfish and piranha are two types of,swordfish,piranha,fish,"['fish', 'fishes']","[5916, 49765]", bookcases and loveseats are two types of,bookcases,loveseats,furniture,['furniture'],[13091]
 swordfish and snapper are two types of,swordfish,snapper,fish,"['fish', 'fishes']","[5916, 49765]", elk and kine are two types of,elk,kine,animal,['animals'],[4695]
 herring and salmon are two types of,herring,salmon,fish,"['fish', 'fishes']","[5916, 49765]", nephews and mothers are two types of,nephews,mothers,relative,"['relatives', 'family']","[12772, 1641]"
 herring and trout are two types of,herring,trout,fish,"['fish', 'fishes']","[5916, 49765]", buss and vans are two types of,buss,vans,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 herring and goldfish are two types of,herring,goldfish,fish,"['fish', 'fishes']","[5916, 49765]", light years and nanometers are two types of,light years,nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 herring and bass are two types of,herring,bass,fish,"['fish', 'fishes']","[5916, 49765]", jades and diamonds are two types of,jades,diamonds,gem,"['gem', 'gems']","[16840, 23685]"
 herring and catfish are two types of,herring,catfish,fish,"['fish', 'fishes']","[5916, 49765]", couches and recliners are two types of,couches,recliners,furniture,['furniture'],[13091]
 herring and tuna are two types of,herring,tuna,fish,"['fish', 'fishes']","[5916, 49765]", corporals and chiefs are two types of,corporals,chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 herring and flounder are two types of,herring,flounder,fish,"['fish', 'fishes']","[5916, 49765]", millimeters and micrometers are two types of,millimeters,micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 herring and swordfish are two types of,herring,swordfish,fish,"['fish', 'fishes']","[5916, 49765]", shacks and townhouses are two types of,shacks,townhouses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 herring and carp are two types of,herring,carp,fish,"['fish', 'fishes']","[5916, 49765]", slippers and heels are two types of,slippers,heels,footwear,['footwear'],[43463]
 herring and cod are two types of,herring,cod,fish,"['fish', 'fishes']","[5916, 49765]", loafers and heels are two types of,loafers,heels,footwear,['footwear'],[43463]
 herring and angelfish are two types of,herring,angelfish,fish,"['fish', 'fishes']","[5916, 49765]", rupees and nickels are two types of,rupees,nickels,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 herring and mahi mahi are two types of,herring,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]", secs and nanoseconds are two types of,secs,nanoseconds,time,"['time', 'units']","[640, 4991]"
 herring and blowfish are two types of,herring,blowfish,fish,"['fish', 'fishes']","[5916, 49765]", ska and hip hop are two types of,ska,hip hop,music,['music'],[2647]
 herring and guppy are two types of,herring,guppy,fish,"['fish', 'fishes']","[5916, 49765]", screwdrivers and tape measures are two types of,screwdrivers,tape measures,tool,['tools'],[4899]
 herring and halibut are two types of,herring,halibut,fish,"['fish', 'fishes']","[5916, 49765]", euroes and nickels are two types of,euroes,nickels,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 herring and perch are two types of,herring,perch,fish,"['fish', 'fishes']","[5916, 49765]", flamingoes and ravens are two types of,flamingoes,ravens,bird,"['birds', 'bird']","[10087, 6512]"
 herring and rainbow trout are two types of,herring,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]", doves and ravens are two types of,doves,ravens,bird,"['birds', 'bird']","[10087, 6512]"
 herring and marlin are two types of,herring,marlin,fish,"['fish', 'fishes']","[5916, 49765]", treasurers and congressmen are two types of,treasurers,congressmen,politician,"['elected', 'politicians']","[7018, 7602]"
 herring and minnow are two types of,herring,minnow,fish,"['fish', 'fishes']","[5916, 49765]", melons and plums are two types of,melons,plums,fruit,"['fruits', 'fruit']","[15921, 8234]"
 herring and pike are two types of,herring,pike,fish,"['fish', 'fishes']","[5916, 49765]", nephews and grandfathers are two types of,nephews,grandfathers,relative,"['relatives', 'family']","[12772, 1641]"
 herring and piranha are two types of,herring,piranha,fish,"['fish', 'fishes']","[5916, 49765]", turnips and asparagus are two types of,turnips,asparagus,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 herring and snapper are two types of,herring,snapper,fish,"['fish', 'fishes']","[5916, 49765]", polo and softball are two types of,polo,softball,sport,['sports'],[5701]
 carp and salmon are two types of,carp,salmon,fish,"['fish', 'fishes']","[5916, 49765]", football and wrestling are two types of,football,wrestling,sport,['sports'],[5701]
 carp and trout are two types of,carp,trout,fish,"['fish', 'fishes']","[5916, 49765]", yards and kilometers are two types of,yards,kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 carp and goldfish are two types of,carp,goldfish,fish,"['fish', 'fishes']","[5916, 49765]", commanders and colonels are two types of,commanders,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 carp and bass are two types of,carp,bass,fish,"['fish', 'fishes']","[5916, 49765]", rugby and volleyball are two types of,rugby,volleyball,sport,['sports'],[5701]
 carp and catfish are two types of,carp,catfish,fish,"['fish', 'fishes']","[5916, 49765]", brethren and aunts are two types of,brethren,aunts,relative,"['relatives', 'family']","[12772, 1641]"
 carp and tuna are two types of,carp,tuna,fish,"['fish', 'fishes']","[5916, 49765]", apples and oranges are two types of,apples,oranges,fruit,"['fruits', 'fruit']","[15921, 8234]"
 carp and flounder are two types of,carp,flounder,fish,"['fish', 'fishes']","[5916, 49765]", grenades and brass knuckles are two types of,grenades,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 carp and swordfish are two types of,carp,swordfish,fish,"['fish', 'fishes']","[5916, 49765]", businessmen and accountants are two types of,businessmen,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 carp and herring are two types of,carp,herring,fish,"['fish', 'fishes']","[5916, 49765]", kilometers and millimeters are two types of,kilometers,millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 carp and cod are two types of,carp,cod,fish,"['fish', 'fishes']","[5916, 49765]", milliseconds and centuries are two types of,milliseconds,centuries,time,"['time', 'units']","[640, 4991]"
 carp and angelfish are two types of,carp,angelfish,fish,"['fish', 'fishes']","[5916, 49765]", chickens and sparrows are two types of,chickens,sparrows,bird,"['birds', 'bird']","[10087, 6512]"
 carp and mahi mahi are two types of,carp,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]", bombs and bazookas are two types of,bombs,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 carp and blowfish are two types of,carp,blowfish,fish,"['fish', 'fishes']","[5916, 49765]", quarters and euroes are two types of,quarters,euroes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 carp and guppy are two types of,carp,guppy,fish,"['fish', 'fishes']","[5916, 49765]", cars and SUVs are two types of,cars,SUVs,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 carp and halibut are two types of,carp,halibut,fish,"['fish', 'fishes']","[5916, 49765]", beds and nightstands are two types of,beds,nightstands,furniture,['furniture'],[13091]
 carp and perch are two types of,carp,perch,fish,"['fish', 'fishes']","[5916, 49765]", ties and scarves are two types of,ties,scarves,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 carp and rainbow trout are two types of,carp,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]", soldiers and corporals are two types of,soldiers,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 carp and marlin are two types of,carp,marlin,fish,"['fish', 'fishes']","[5916, 49765]", hotels and townhouses are two types of,hotels,townhouses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 carp and minnow are two types of,carp,minnow,fish,"['fish', 'fishes']","[5916, 49765]", representatives and congresswomen are two types of,representatives,congresswomen,politician,"['elected', 'politicians']","[7018, 7602]"
 carp and pike are two types of,carp,pike,fish,"['fish', 'fishes']","[5916, 49765]", mayors and congresswomen are two types of,mayors,congresswomen,politician,"['elected', 'politicians']","[7018, 7602]"
 carp and piranha are two types of,carp,piranha,fish,"['fish', 'fishes']","[5916, 49765]", shoes and boxer shortss are two types of,shoes,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 carp and snapper are two types of,carp,snapper,fish,"['fish', 'fishes']","[5916, 49765]", houses and huts are two types of,houses,huts,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 cod and salmon are two types of,cod,salmon,fish,"['fish', 'fishes']","[5916, 49765]", nails and drills are two types of,nails,drills,tool,['tools'],[4899]
 cod and trout are two types of,cod,trout,fish,"['fish', 'fishes']","[5916, 49765]", chickens and ducks are two types of,chickens,ducks,bird,"['birds', 'bird']","[10087, 6512]"
 cod and goldfish are two types of,cod,goldfish,fish,"['fish', 'fishes']","[5916, 49765]", dance and new age are two types of,dance,new age,music,['music'],[2647]
 cod and bass are two types of,cod,bass,fish,"['fish', 'fishes']","[5916, 49765]", peppers and peas are two types of,peppers,peas,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 cod and catfish are two types of,cod,catfish,fish,"['fish', 'fishes']","[5916, 49765]", cooks and physical therapists are two types of,cooks,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 cod and tuna are two types of,cod,tuna,fish,"['fish', 'fishes']","[5916, 49765]", pounds and quarters are two types of,pounds,quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 cod and flounder are two types of,cod,flounder,fish,"['fish', 'fishes']","[5916, 49765]", clouds and tsunamis are two types of,clouds,tsunamis,weather,"['weather', 'natural']","[6193, 3288]"
 cod and swordfish are two types of,cod,swordfish,fish,"['fish', 'fishes']","[5916, 49765]", rugby and field hockey are two types of,rugby,field hockey,sport,['sports'],[5701]
 cod and herring are two types of,cod,herring,fish,"['fish', 'fishes']","[5916, 49765]", bowling and field hockey are two types of,bowling,field hockey,sport,['sports'],[5701]
 cod and carp are two types of,cod,carp,fish,"['fish', 'fishes']","[5916, 49765]", bananas and oranges are two types of,bananas,oranges,fruit,"['fruits', 'fruit']","[15921, 8234]"
 cod and angelfish are two types of,cod,angelfish,fish,"['fish', 'fishes']","[5916, 49765]", handguns and brass knuckles are two types of,handguns,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 cod and mahi mahi are two types of,cod,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]", oranges and cantaloupes are two types of,oranges,cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 cod and blowfish are two types of,cod,blowfish,fish,"['fish', 'fishes']","[5916, 49765]", hotels and mansions are two types of,hotels,mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 cod and guppy are two types of,cod,guppy,fish,"['fish', 'fishes']","[5916, 49765]", diamonds and quartzs are two types of,diamonds,quartzs,gem,"['gem', 'gems']","[16840, 23685]"
 cod and halibut are two types of,cod,halibut,fish,"['fish', 'fishes']","[5916, 49765]", spears and brass knuckles are two types of,spears,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 cod and perch are two types of,cod,perch,fish,"['fish', 'fishes']","[5916, 49765]", centuries and secs are two types of,centuries,secs,time,"['time', 'units']","[640, 4991]"
 cod and rainbow trout are two types of,cod,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]", knives and maces are two types of,knives,maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 cod and marlin are two types of,cod,marlin,fish,"['fish', 'fishes']","[5916, 49765]", cricket and cheerleading are two types of,cricket,cheerleading,sport,['sports'],[5701]
 cod and minnow are two types of,cod,minnow,fish,"['fish', 'fishes']","[5916, 49765]", floods and tidal waves are two types of,floods,tidal waves,weather,"['weather', 'natural']","[6193, 3288]"
 cod and pike are two types of,cod,pike,fish,"['fish', 'fishes']","[5916, 49765]", inches and light years are two types of,inches,light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 cod and piranha are two types of,cod,piranha,fish,"['fish', 'fishes']","[5916, 49765]", chickens and parakeets are two types of,chickens,parakeets,bird,"['birds', 'bird']","[10087, 6512]"
 cod and snapper are two types of,cod,snapper,fish,"['fish', 'fishes']","[5916, 49765]", pigs and mooses are two types of,pigs,mooses,animal,['animals'],[4695]
 angelfish and salmon are two types of,angelfish,salmon,fish,"['fish', 'fishes']","[5916, 49765]", nickels and cents are two types of,nickels,cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 angelfish and trout are two types of,angelfish,trout,fish,"['fish', 'fishes']","[5916, 49765]", sycamores and palms are two types of,sycamores,palms,tree,['trees'],[7150]
 angelfish and goldfish are two types of,angelfish,goldfish,fish,"['fish', 'fishes']","[5916, 49765]", banjoes and french horns are two types of,banjoes,french horns,instrument,"['musical', 'instruments']","[10530, 12834]"
 angelfish and bass are two types of,angelfish,bass,fish,"['fish', 'fishes']","[5916, 49765]", zucchini and potatoes are two types of,zucchini,potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 angelfish and catfish are two types of,angelfish,catfish,fish,"['fish', 'fishes']","[5916, 49765]", birches and oaks are two types of,birches,oaks,tree,['trees'],[7150]
 angelfish and tuna are two types of,angelfish,tuna,fish,"['fish', 'fishes']","[5916, 49765]", tsunamis and wind are two types of,tsunamis,wind,weather,"['weather', 'natural']","[6193, 3288]"
 angelfish and flounder are two types of,angelfish,flounder,fish,"['fish', 'fishes']","[5916, 49765]", larceny and breaking and entering are two types of,larceny,breaking and entering,crime,"['crimes', 'crime']","[6741, 4065]"
 angelfish and swordfish are two types of,angelfish,swordfish,fish,"['fish', 'fishes']","[5916, 49765]", sergeants and privates are two types of,sergeants,privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
