1. A precious stone
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
Lindsay/Lindsey	0.11	0.01	3.1	3.9	5.1	0.15	0.03	0.10
 Lindsay	0.07	0.01	3.1	3.2	4.8	0.09	0.01	0.07
 Lindsey	0.04		3.1		5.6	0.05	0.02	0.03
Lisa	0.11	0.02	2.6	3.3	5.4	0.11	0.15	0.09
Meg(h)an	0.11	0.01	2.7	4.1	5.2	0.11	0.14	0.08
 Megan	0.09	0.01	2.7	4.8	5.1	0.09	0.11	0.07
 Meghan	0.02		2.9		5.8	0.02	0.03	0.01
Amanda	0.10	0.01	2.6	4.5	5.4	0.10	0.11	0.08
Erin	0.10	0.01	2.5	3.7	5.9	0.10	0.09	0.10
Jen(n)	0.10	0.02	2.8	4.3	5.0	0.11	0.12	0.05
 Jen	0.08	0.01	2.6	3.6	5.2	0.10	0.09	0.04
 Jenn	0.02		3.6		3.9	0.01	0.03	0.02
Michelle	0.10	0.01	3.1	4.1	5.4	0.10	0.12	0.10
Rachel	0.09	0.01	2.8	2.9	5.9	0.08	0.14	0.06
Elizabeth	0.08	0.01	4.1	5.6	5.5	0.06	0.06	0.14
Emily	0.08	0.01	2.6	3.8	5.4	0.08	0.07	0.08
Julie	0.08	0.01	2.7	3.6	5.0	0.09	0.07	0.08
Al(l)ison	0.07	0.01	2.8	3.5	4.7	0.08	0.09	0.03
 Allison	0.05	0.01	2.9	3.7	4.6	0.06	0.05	0.02
 Alison	0.02		2.8		4.9	0.03	0.03	0.01
Heather	0.07	0.01	3.1	4.0	5.6	0.07	0.04	0.07
Jenny	0.07	0.01	2.8	4.5	5.5	0.08	0.07	0.05
Melissa	0.07	0.01	2.9	4.4	5.0	0.05	0.13	0.04
Nicole	0.07	0.01	3.0	5.4	6.0	0.07	0.09	0.06
Stephanie	0.07	0.01	3.7	4.9	5.2	0.06	0.08	0.10
Susan	0.07	0.01	2.5	3.7	4.8	0.08	0.06	0.06
Anna	0.06	0.01	2.3	3.3	5.3	0.05	0.07	0.08
Kate	0.06	0.01	2.6	3.7	5.2	0.08	0.03	0.04
Kathy/Cathy	0.06	0.01	3.1	4.0	5.1	0.07	0.05	0.05
 Kathy	0.04	0.01	3.2	3.6	5.0	0.05	0.03	0.03
 Cathy	0.02		2.8		5.3	0.02	0.02	0.02
Kim	0.06		2.3		5.8	0.06	0.03	0.07
Sally	0.06		2.5		6.5	0.07	0.04	0.06
Stac(e)y	0.06	0.01	3.3	4.2	5.9	0.07	0.04	0.05
 Stacy	0.04	0.01	3.2	4.2	5.4	0.05	0.03	0.04
 Stacey	0.02		3.6		7.3	0.02	0.01	0.01
Courtney	0.05		3.6		5.2	0.05	0.03	0.05
Danielle	0.05		3.3		6.2	0.04	0.09	0.04
Jamie	0.05	0.01	2.5	3.1	5.3	0.06	0.05	0.04
Karen	0.05	0.01	2.6	4.4	5.3	0.04	0.07	0.06
Katherine/Kathryn	0.05		3.6		5.1	0.05	0.03	0.04
 Katherine	0.03		3.7		5.1	0.04	0.02	0.02
 Kathryn	0.02		3.5		5.1	0.02	0.01	0.02
Linda	0.05	0.01	2.7	4.0	5.3	0.06	0.05	0.04
Rebecca	0.05		3.6		5.6	0.04	0.07	0.05
Samantha	0.05		3.1		5.3	0.04	0.07	0.06
Sue	0.05		2.2		4.5	0.05	0.04	0.07

47. A male first namea
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(653)		Overall	First		(335)	(150)	(168)
Jo(h)n	0.52	0.16	2.9	3.6	3.8	0.50	0.53	0.55
 John	0.45	0.13	2.9	3.7	3.8	0.42	0.45	0.51
 Jon	0.08	0.03	2.6	3.4	3.6	0.09	0.08	0.05
Mike	0.36	0.08	2.3	3.3	4.8	0.41	0.39	0.24
Bob	0.26	0.06	2.3	3.1	4.8	0.30	0.18	0.25
Matt	0.26	0.02	2.1	3.1	5.8	0.30	0.25	0.20
Chris	0.25	0.02	2.5	4.4	5.5	0.24	0.29	0.24
Joe	0.19	0.03	2.2	3.2	5.2	0.19	0.21	0.17
Brian/Bryan	0.18	0.03	2.6	3.6	5.4	0.19	0.19	0.16
 Brian	0.15	0.02	2.6	3.8	5.5	0.15	0.16	0.13
 Bryan	0.04	0.01	2.7	2.9	5.0	0.04	0.03	0.04
Tom	0.18	0.02	2.2	3.0	5.7	0.18	0.18	0.18
Steve	0.16		2.4		6.5	0.18	0.19	0.08
Dan	0.15	0.02	2.2	2.9	5.6	0.19	0.15	0.07
David	0.15	0.02	2.7	4.0	6.1	0.13	0.19	0.16
Mark	0.15	0.02	2.2	3.4	6.2	0.15	0.19	0.11
Tim	0.15	0.01	2.0	2.7	6.5	0.13	0.15	0.17
Bill	0.14		2.2		6.2	0.16	0.09	0.16
Adam	0.13	0.01	2.5	3.2	5.2	0.15	0.14	0.10
Ben	0.13	0.02	2.2	3.1	5.0	0.14	0.10	0.13
James	0.13	0.01	2.4	3.0	5.5	0.12	0.11	0.17
Sam	0.13		2.2		6.7	0.16	0.14	0.06
Eric	0.12	0.01	2.5	3.2	5.8	0.12	0.13	0.11
Jason	0.12	0.01	2.8	4.3	6.9	0.10	0.15	0.11
Josh	0.12	0.01	2.6	3.0	5.7	0.09	0.09	0.19
Ryan	0.12	0.01	2.5	3.6	6.2	0.14	0.12	0.10
Scott	0.12	0.01	2.3	4.3	5.5	0.12	0.09	0.14
Jim	0.11	0.01	2.4	2.7	5.5	0.14	0.07	0.09
Justin	0.11		2.7		6.6	0.10	0.10	0.15
Michael	0.11	0.02	3.2	4.3	4.8	0.06	0.16	0.17
Jeff	0.10	0.02	2.4	3.5	5.8	0.14	0.07	0.04
Kevin	0.10	0.01	2.8	3.1	5.8	0.10	0.13	0.09
Paul	0.10	0.01	2.4	3.6	7.0	0.10	0.13	0.08
Andrew	0.09	0.01	3.0	3.5	6.2	0.10	0.13	0.04
Dave	0.09		2.2		6.1	0.13	0.08	0.03
Jack	0.09		2.6		6.6	0.10	0.05	0.10
Nick	0.09	0.01	2.4	4.6	6.2	0.11	0.07	0.10
Aaron	0.08		2.8		6.5	0.09	0.07	0.07
Brad	0.08	0.01	3.1	4.5	5.7	0.10	0.04	0.08
George	0.08		3.2		5.9	0.09	0.11	0.04
Greg	0.08	0.01	2.4	3.6	6.7	0.09	0.11	0.05
Robert	0.08	0.01	2.8	3.4	5.7	0.05	0.13	0.10
Alex	0.07		2.7		6.4	0.08	0.04	0.08
Peter	0.07	0.01	3.0	4.3	6.4	0.07	0.06	0.06
Rob	0.07	0.01	2.1	3.0	6.0	0.05	0.10	0.08
Zach/Zack	0.07		2.8		6.6	0.10	0.05	0.02
 Zach	0.04		2.6		7.4	0.05	0.03	0.02
 Zack	0.03		3.0		5.8	0.04	0.03	0.01
Brandon	0.06	0.01	2.8	3.9	6.2	0.04	0.05	0.10
Daniel	0.06		3.1		6.5	0.03	0.09	0.08
Jake	0.06		2.4		6.5	0.08	0.06	0.04
Kyle	0.06	0.01	3.1	3.7	7.3	0.06	0.07	0.03
Sean	0.06		2.1		6.4	0.08	0.07	0.02
Steven/Stephen	0.06		3.2		6.8	0.04	0.05	0.10
 Steven	0.04		3.2		6.3	0.03	0.03	0.07
 Stephen	0.02		3.3		8.2	0.01	0.02	0.03
Will	0.06		2.2		7.5	0.05	0.03	0.11
William	0.06		2.9		6.2	0.04	0.09	0.08
Billy	0.05		2.5		7.3	0.04	0.05	0.07
Frank	0.05		2.9		7.2	0.06	0.06	0.03
Fred	0.05		2.7		7.3	0.07	0.04	0.04
Nate	0.05	0.01	2.1	2.7	5.8	0.06	0.02	0.04
Pat	0.05		2.0		6.9	0.07	0.07	0.01
Phil	0.05		2.6		7.5	0.03	0.06	0.06
Tony	0.05		2.6		5.9	0.04	0.07	0.05
Tyler	0.05		2.5		7.1	0.08	0.02	0.02

48. A flower
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(690)		Overall	First		(371)	(150)	(169)
Rose(s)	0.96	0.48	2.8	3.3	1.8	0.96	0.95	0.96
Daisy	0.59	0.18	3.8	3.8	2.7	0.59	0.53	0.63
Tulip	0.53	0.07	4.3	3.9	3.0	0.56	0.51	0.49
Lily	0.30	0.03	4.1	4.0	3.7	0.33	0.28	0.26
Carnation(s)	0.29	0.01	5.3	4.2	3.9	0.28	0.31	0.31
Daffodil(s)	0.23	0.02	5.4	5.6	3.6	0.20	0.31	0.21
Sunflower(s)	0.23	0.02	5.8	5.6	3.7	0.30	0.00	0.29
Dandelion(s)	0.20	0.03	5.8	6.2	3.6	0.19	0.23	0.21
Pansy	0.11	0.01	5.0	4.4	4.0	0.12	0.07	0.13
Orchid(s)	0.09	0.01	5.5	4.2	4.1	0.08	0.09	0.09
Petunia(s)	0.09	0.02	4.8	4.5	3.2	0.11	0.09	0.06
Sun	0.09	0.01	5.6	4.7	3.6	0.01	0.37	0.00
Violet(s)	0.09		4.9		3.9	0.08	0.11	0.09
Iris	0.08	0.01	3.6	3.4	4.0	0.10	0.06	0.06
Lilac	0.08	0.01	4.7	4.2	3.7	0.10	0.05	0.06
Columbine(s)	0.05	0.01	6.1	5.5	3.4	0.09	0.00	0.00

49. A disease
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(675)		Overall	First		(361)	(148)	(166)
AIDS/HIV	0.88	0.36	4.0	4.6	2.2	0.87	0.84	0.95
 AIDS	0.67	0.32	4.1	4.6	2.0	0.66	0.66	0.72
 HIV	0.21	0.04	3.8	4.8	2.8	0.21	0.18	0.23
 AIDS/HIV	0.00		4.7		3.7	0.01	0.01	0.00
Cancer	0.64	0.26	4.1	4.2	2.1	0.64	0.68	0.60
Flu	0.15	0.03	4.2	4.7	3.1	0.18	0.12	0.10
Diabetes	0.12	0.02	5.5	5.7	3.1	0.10	0.15	0.11
Herpes	0.12	0.02	5.1	4.9	3.5	0.11	0.14	0.13
Cold	0.11	0.01	4.0	6.6	3.2	0.14	0.07	0.07
 Cold	0.10	0.01	4.0	6.5	3.3	0.13	0.07	0.07
 Common cold	0.01		4.4	7.1	2.5	0.01	0.01	0.01
Parkinson's	0.11	0.02	6.3	5.8	2.9	0.14	0.08	0.08
Alzheimer's	0.10	0.01	6.9	5.5	3.5	0.10	0.09	0.10
Leukemia	0.10	0.01	6.5	9.0	3.0	0.09	0.13	0.10
Heart disease	0.09	0.01	6.1	6.3	3.2	0.05	0.13	0.14
Chicken pox	0.07	0.01	6.2	6.4	3.5	0.06	0.11	0.05
Hepatitis	0.07		6.2	4.4	3.5	0.08	0.06	0.07
 Hepatitis	0.06		6.1	4.4	3.3	0.06	0.06	0.05
 Hepatitis B	0.01		8.1		5.0	0.01	0.00	0.01
 Hepatitis A	0.00		5.4		4.7	0.01	0.00	0.01
 Hepatitis C	0.00		5.2		3.5	0.01	0.00	0.00
MS/multiple sclerosis	0.07	0.01	6.6	8.4	3.1	0.09	0.05	0.04
 MS	0.04	0.01	5.4	7.8	3.3	0.07	0.03	0.00
 Multiple sclerosis	0.03		8.5	9.5	2.8	0.02	0.02	0.04
Gonorrhea	0.06		6.2	5.9	4.0	0.06	0.05	0.07
Malaria	0.06	0.02	5.5	4.2	2.9	0.05	0.13	0.04
Smallpox	0.06	0.01	5.3	5.4	3.2	0.08	0.06	0.03
Syphilis	0.06		6.9	5.3	3.7	0.06	0.05	0.05
Measles	0.05	0.01	5.3	5.1	2.7	0.04	0.06	0.04
Mono/mononucleosis	0.05	0.01	5.0	5.2	3.4	0.05	0.05	0.04
 Mono	0.03	0.01	4.0	3.6	3.3	0.05	0.04	0.00
 Mononucleosis	0.01		7.7	11.7	3.7	0.00	0.01	0.04
STD(s)	0.05		7.1	4.4	3.3	0.05	0.03	0.07
Tuberculosis/TB	0.05	0.01	6.2	4.5	3.4	0.05	0.06	0.05
 Tuberculosis	0.04		6.6	4.8	3.5	0.03	0.05	0.05
 TB	0.01		4.6	4.0	3.0	0.02	0.01	0.00

50. A tree
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(653)		Overall	First		(338)	(149)	(166)
Oak	0.68	0.31	3.2	3.6	2.2	0.63	0.75	0.71
Pine	0.63	0.10	3.4	3.8	3.0	0.64	0.56	0.69
Maple	0.45	0.10	3.7	4.0	3.0	0.42	0.50	0.48
Apple	0.31	0.03	4.3	5.4	4.3	0.26	0.40	0.33
Aspen	0.20	0.02	3.5	3.9	3.4	0.37	0.01	0.01
Redwood	0.20	0.02	4.5	4.9	3.7	0.20	0.22	0.19
Dogwood	0.18	0.05	4.8	5.0	3.4	0.06	0.12	0.46
Spruce	0.16	0.05	4.4	4.9	2.9	0.23	0.07	0.09
Evergreen	0.15	0.02	5.2	6.1	4.0	0.18	0.11	0.10
Birch	0.13	0.03	4.4	4.8	3.4	0.13	0.14	0.11
Cherry	0.13		4.7		4.8	0.11	0.20	0.11
Weeping willow	0.13	0.02	5.0	5.1	3.9	0.18	0.08	0.07
Orange	0.12		3.7		5.5	0.10	0.15	0.14
Elm	0.10	0.03	3.0	3.3	3.4	0.14	0.06	0.04
Fir	0.10	0.01	3.7	2.7	4.0	0.12	0.07	0.07
Palm	0.10	0.01	4.8	6.3	4.1	0.11	0.09	0.08
Cedar	0.09		4.3		4.3	0.09	0.07	0.11
Pear	0.09		2.8		5.5	0.06	0.12	0.11
Leaf(ves)	0.08	0.03	4.0	5.0	2.3	0.10	0.03	0.07
Willow	0.07	0.01	4.7	4.0	3.5	0.00	0.15	0.13
Christmas	0.06		6.1		4.0	0.05	0.07	0.07
Peach	0.06		4.1		4.9	0.04	0.10	0.05
Blue spruce	0.05	0.01	6.8	7.4	3.8	0.08	0.02	0.00
Green	0.05	0.01	3.7	3.9	3.4	0.07	0.01	0.02
Sycamore	0.05	0.01	5.2	5.8	3.1	0.03	0.07	0.05

51. A type of ship/boat
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(645)		Overall	First		(335)	(148)	(162)
Sailboat	0.53	0.22	5.2	6.1	2.3	0.59	0.49	0.44
Cruise ship/liner	0.52	0.14	5.8	7.0	2.7	0.53	0.55	0.45
 Cruise ship	0.27	0.06	5.9	7.5	2.7	0.24	0.26	0.36
 Cruise	0.12	0.04	5.1	5.9	2.5	0.17	0.16	0.00
 Cruise liner	0.06	0.01	6.1	8.6	3.0	0.07	0.05	0.04
 Cruiser	0.04	0.02	6.1	7.0	2.4	0.04	0.07	0.03
 Cruise boat	0.02	0.01	6.3	8.7	2.9	0.02	0.01	0.02
Yacht	0.29	0.12	5.4	6.4	2.3	0.25	0.32	0.33
Speedboat	0.23	0.05	5.3	7.1	2.9	0.27	0.20	0.20
Fishing boat	0.22	0.02	5.3	8.2	3.5	0.21	0.21	0.26
Canoe	0.21	0.03	5.0	8.9	3.8	0.19	0.22	0.24
Rowboat	0.18	0.03	4.6	6.7	3.5	0.19	0.19	0.15
Motor	0.13	0.01	5.1	6.2	3.3	0.16	0.14	0.09
Tugboat	0.13	0.05	5.4	7.2	2.6	0.11	0.18	0.14
Submarine	0.12	0.02	6.1	8.4	3.6	0.12	0.11	0.12
(Aircraft) carrier	0.11	0.02	7.0	9.7	3.1	0.13	0.09	0.10
 Aircraft carrier	0.08	0.02	7.6	11.1	3.0	0.10	0.07	0.07
 Carrier	0.03	0.01	5.3	6.3	3.1	0.03	0.03	0.03
Battleship	0.11	0.01	5.1	6.4	3.1	0.12	0.11	0.07
Kayak	0.08		4.4		4.3	0.09	0.07	0.07
Paddle boat	0.07		5.2		4.0	0.05	0.08	0.09
Raft	0.07		4.1		4.0	0.07	0.07	0.06
Titanic	0.07	0.03	6.0	7.6	2.2	0.04	0.09	0.10
Barge	0.06	0.01	4.5	5.2	3.4	0.06	0.07	0.05
Cargo	0.06		5.4		3.6	0.06	0.08	0.04
Catamaran	0.06	0.01	5.8	7.6	2.8	0.07	0.05	0.02
Ding(h)y	0.06	0.01	4.9	9.3	3.3	0.06	0.05	0.06
 Dingy	0.05	0.01	5.1	9.7	3.4	0.05	0.05	0.05
 Dinghy	0.01		3.7		2.4	0.01	0.00	0.01
Pontoon	0.06	0.01	5.5	6.7	3.4	0.06	0.01	0.11
Steam	0.06	0.02	5.4	7.5	3.0	0.05	0.07	0.06
 Steamboat	0.02		5.9		3.1	0.02	0.00	0.06
 Steamship	0.02	0.01	5.2	6.6	3.0	0.01	0.07	0.00
 Steam(er)	0.01		4.8		2.6	0.02	0.00	0.01
Ferry	0.05	0.01	5.2	6.8	3.4	0.05	0.05	0.04
Schooner	0.05	0.02	4.6	5.7	2.0	0.07	0.03	0.03
Ski	0.05	0.01	4.9	5.9	3.4	0.07	0.01	0.05

52. A fish
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(655)		Overall	First		(326)	(149)	(180)
Salmon	0.51	0.11	4.0	5.1	3.0	0.60	0.60	0.27
Trout	0.51	0.17	3.8	4.4	2.7	0.66	0.36	0.38
Goldfish	0.44	0.13	5.0	5.6	3.0	0.40	0.49	0.47
Bass	0.33	0.07	3.5	4.5	3.1	0.32	0.26	0.41
Catfish	0.27	0.05	4.5	4.5	3.5	0.18	0.26	0.45
Tuna	0.25	0.03	3.2	4.0	3.7	0.28	0.33	0.16
Shark	0.24	0.03	4.7	7.5	4.0	0.22	0.25	0.28
Flounder	0.18	0.05	4.8	5.5	3.1	0.07	0.25	0.34
Swordfish	0.15	0.01	5.4	6.1	4.1	0.17	0.15	0.12
Herring	0.11	0.03	4.2	4.1	3.2	0.10	0.14	0.13
Carp	0.10	0.03	3.6	3.6	3.0	0.13	0.03	0.10
Beta	0.09		3.5		4.1	0.07	0.03	0.16
Cod	0.09	0.03	3.7	3.3	3.1	0.13	0.10	0.03
Angelfish	0.08	0.01	5.4	5.4	4.1	0.09	0.06	0.08
Dolphin	0.08	0.01	4.9	6.4	3.7	0.07	0.05	0.13
Mahi mahi	0.08		4.2		4.2	0.11	0.03	0.05
Blowfish	0.07	0.02	5.9	5.5	3.3	0.05	0.09	0.12
Guppy(ies)	0.07	0.01	4.2	4.4	4.0	0.08	0.06	0.07
Halibut	0.07		4.2		4.3	0.12	0.03	0.02
Perch	0.07	0.01	4.2	3.9	4.0	0.05	0.09	0.08
Rainbow trout	0.06	0.01	5.9	7.8	3.3	0.10	0.01	0.01
Marlin	0.05		4.0		4.6	0.07	0.03	0.03
Minnow(s)	0.05		4.8		4.3	0.04	0.05	0.08
Pike	0.05	0.01	3.7	4.1	3.3	0.07	0.03	0.04
Piranha(s)	0.05		6.3		4.1	0.07	0.03	0.04
Snapper	0.05		4.5		4.3	0.07	0.01	0.04
Whale	0.05		2.9		4.4	0.03	0.05	0.07

53. A snake
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(654)		Overall	First		(339)	(146)	(166)
Rattle(snake)	0.75	0.39	5.0	5.2	1.9	0.78	0.67	0.78
 Rattlesnake	0.44	0.26	5.4	5.4	1.8	0.33	0.32	0.78
 Rattle	0.24	0.11	4.2	4.4	2.0	0.32	0.33	0.00
 Rattler	0.07	0.03	5.0	5.7	2.2	0.13	0.02	0.00
Garden(er)	0.54	0.06	5.4	6.2	3.2	0.63	0.42	0.43
 Gardener	0.33	0.04	5.4	6.3	3.1	0.63	0.00	0.00
 Garden	0.21	0.02	5.4	6.0	3.4	0.00	0.42	0.43
Cobra	0.50	0.14	3.9	4.5	2.5	0.46	0.56	0.53
Python(s)	0.42	0.07	5.0	4.7	3.1	0.47	0.38	0.34
Boa (constrictor)	0.36	0.07	5.8	7.3	2.9	0.44	0.30	0.26
 Boa constrictor(s)	0.22	0.05	6.9	8.5	2.9	0.22	0.19	0.26
 Boa	0.14	0.02	4.0	4.9	3.0	0.22	0.11	0.00
Anaconda	0.21	0.02	5.2	5.0	3.8	0.20	0.27	0.17
Copperhead	0.17	0.04	4.9	5.1	3.0	0.08	0.16	0.35
Black snake	0.14	0.01	4.0	5.6	3.5	0.02	0.15	0.37
Viper	0.13	0.03	4.1	4.0	3.0	0.15	0.11	0.08
Water	0.09		4.8		4.2	0.07	0.09	0.12
Diamondback	0.08		6.1		3.6	0.08	0.05	0.09
King snake	0.08	0.01	4.3	6.3	3.7	0.09	0.04	0.10
Coral snake	0.06	0.01	3.8	4.5	4.1	0.06	0.05	0.06
Green snake	0.06		3.5		4.2	0.04	0.03	0.13
Poisonous	0.06	0.01	7.5	7.2	3.4	0.04	0.07	0.07
Corn	0.05	0.01	4.1	5.7	3.8	0.04	0.04	0.06
Cottonmouth	0.05	0.01	5.8	7.4	3.6	0.03	0.03	0.11

54. A city
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(639)		Overall	First		(319)	(149)	(170)
New York (City)	0.63	0.19	4.2	4.9	3.0	0.58	0.76	0.60
 New York	0.41	0.12	4.2	4.9	3.0	0.55	0.60	0.00
 New York City	0.19	0.06	4.4	5.1	3.2	0.00	0.13	0.60
 N.Y.	0.02		2.5		2.5	0.03	0.03	0.00
Denver	0.35	0.13	3.3	4.7	2.6	0.67	0.05	0.01
Los Angeles/LA	0.35	0.03	3.9	5.0	4.3	0.42	0.37	0.21
 Los Angeles	0.23	0.02	4.5	5.3	4.4	0.24	0.24	0.21
 LA	0.12	0.01	2.8	4.1	4.2	0.18	0.13	0.00
Chicago	0.24	0.03	3.8	4.7	3.9	0.26	0.27	0.16
San Francisco	0.22	0.02	5.5	6.1	4.7	0.25	0.27	0.12
Boulder	0.20	0.03	2.8	4.2	3.2	0.39	0.00	0.01
Greensboro	0.19	0.05	4.2	5.1	2.3	0.00	0.00	0.71
Miami	0.16		3.4		5.7	0.15	0.21	0.13
Washington D.C.	0.16	0.02	3.9	4.6	3.7	0.08	0.46	0.07
 Washington D.C.	0.10		4.4		4.1	0.06	0.21	0.07
 D.C.	0.05	0.01	2.8	3.5	3.3	0.02	0.18	0.00
 Washington	0.02		4.3		2.5	0.00	0.07	0.00
Boston	0.15	0.02	3.0	3.7	4.3	0.21	0.15	0.05
Atlanta	0.13	0.01	3.9	4.1	4.7	0.07	0.16	0.21
Baltimore	0.12	0.04	3.7	4.3	3.1	0.02	0.43	0.02
Dallas	0.12	0.01	2.9	3.8	4.9	0.14	0.10	0.08
San Diego	0.12		4.3		5.4	0.16	0.09	0.05
Charlotte	0.10	0.02	4.1	4.8	3.5	0.00	0.01	0.35
Raleigh	0.10	0.01	3.5	3.9	3.9	0.01	0.01	0.35
Houston	0.09	0.01	3.8	6.2	5.0	0.11	0.08	0.06
Seattle	0.09	0.01	3.2	3.7	4.9	0.11	0.11	0.05
Paris	0.08		2.4		4.9	0.06	0.07	0.12
Detroit	0.07	0.01	3.7	4.6	4.2	0.10	0.04	0.04
New Orleans	0.06		4.6		6.4	0.03	0.13	0.03
Philadelphia	0.06	0.01	5.6	5.8	3.8	0.03	0.13	0.04
Austin	0.05		3.0		5.8	0.08	0.03	0.02
London	0.05	0.01	3.3	5.0	4.9	0.03	0.07	0.05
Orlando	0.05		3.3		5.5	0.03	0.08	0.06

55. A state
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(664)		Overall	First		(332)	(150)	(182)
California	0.66	0.07	3.6	5.0	4.4	0.70	0.67	0.56
New York	0.56	0.04	3.5	3.8	4.4	0.49	0.63	0.62
Colorado	0.47	0.22	3.3	3.9	2.5	0.85	0.11	0.08
Florida	0.45	0.02	2.9	4.0	5.5	0.35	0.55	0.53
North Carolina	0.33	0.20	4.7	5.2	2.5	0.06	0.17	0.93
Texas	0.29	0.02	2.8	3.6	5.7	0.31	0.29	0.26
Maryland	0.28	0.13	3.3	4.0	2.9	0.06	0.95	0.15
Virginia	0.23	0.01	3.4	4.0	4.6	0.08	0.41	0.37
Alabama	0.22	0.04	3.6	5.0	4.3	0.25	0.19	0.20
South Carolina	0.22		3.8		4.0	0.05	0.13	0.62
Washington	0.22	0.01	3.8	6.2	5.9	0.26	0.13	0.20
New Jersey	0.21	0.03	3.5	3.6	4.9	0.14	0.35	0.23
Georgia	0.20	0.01	3.4	5.0	5.7	0.12	0.21	0.36
Arizona	0.19	0.01	3.1	4.0	5.1	0.26	0.16	0.08
Maine	0.19	0.01	2.5	3.9	6.0	0.16	0.27	0.16
Alaska	0.16	0.01	2.5	3.9	5.1	0.19	0.19	0.08
Ohio	0.14	0.01	2.4	2.8	5.8	0.14	0.15	0.13
Pennsylvania	0.14	0.02	4.4	4.9	4.5	0.08	0.32	0.10
Oregon	0.13		3.0		6.3	0.19	0.11	0.05
Utah	0.13		2.5		5.6	0.18	0.07	0.10
Nevada	0.12		3.0		5.7	0.16	0.09	0.08
New Mexico	0.12		3.7		6.3	0.18	0.08	0.04
Arkansas	0.11		3.1		5.5	0.13	0.11	0.07
Delaware	0.11		3.4		6.0	0.08	0.25	0.05
Hawaii	0.10		2.5		6.3	0.12	0.09	0.05
Idaho	0.10		2.7		6.2	0.14	0.09	0.04
Michigan	0.10	0.01	3.1	3.7	5.9	0.08	0.13	0.09
Connecticut	0.09	0.01	3.4	4.3	6.1	0.08	0.14	0.06
Kansas	0.09		3.0		6.3	0.11	0.07	0.06
Tennessee	0.09		3.1		6.2	0.06	0.07	0.18
Illinois	0.08	0.01	3.4	4.8	4.9	0.09	0.07	0.06
Iowa	0.08		2.3		6.0	0.09	0.07	0.04
Massachusetts	0.08	0.01	4.4	5.7	4.9	0.08	0.13	0.04
Mississippi	0.08		4.0		5.5	0.08	0.07	0.09
Montana	0.08		2.8		6.4	0.11	0.08	0.03
Wyoming	0.08		2.9		5.8	0.12	0.04	0.03
Minnesota	0.07	0.02	3.6	4.6	4.9	0.10	0.06	0.03
New Hampshire	0.07		4.4		6.4	0.06	0.10	0.07
Vermont	0.07		2.7		6.4	0.07	0.13	0.04
Indiana	0.06		2.6		6.5	0.05	0.08	0.05
Nebraska	0.06		3.5		5.2	0.10	0.02	0.03
North Dakota	0.06		4.0		7.6	0.04	0.07	0.08
Oklahoma	0.06		3.8		5.8	0.07	0.07	0.05
Kentucky	0.05		3.6		7.0	0.05	0.07	0.05
Louisiana	0.05		3.9		6.9	0.07	0.06	0.03
Missouri	0.05		3.1		5.5	0.07	0.03	0.03
Rhode Island	0.05		4.3		6.0	0.02	0.09	0.05
South Dakota	0.05		3.4		7.6	0.03	0.04	0.09
Wisconsin	0.05		3.4		5.7	0.05	0.06	0.03

56. A college or university
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(663)		Overall	First		(344)	(149)	(169)
U of Colorado, Boulder	0.46	0.40	5.1	5.4	1.3	0.89	0.01	0.00
 CU Boulder	0.26	0.23	4.4	4.6	1.3	0.50	0.00	0.00
 University of Colorado	0.07	0.06	8.4	8.8	1.3	0.14	0.00	0.00
 U of Colorado	0.11	0.08	4.8	5.2	1.3	0.21	0.01	0.00
 Boulder	0.02	0.02	4.8	4.9	1.1	0.04	0.00	0.00
U of North Carolina, Chapel Hill	0.36	0.01	3.4	5.5	3.6	0.15	0.11	1.01
 UNC CH	0.12		2.9		3.6	0.00	0.00	0.46
 UNC	0.08		3.0		4.5	0.13	0.04	0.01
 University of North Carolina	0.08	0.01	2.4	3.7	2.8	0.00	0.00	0.30
 UNC Chapel Hill	0.05		5.5		2.9	0.00	0.01	0.19
 Chapel Hill	0.02		4.6		4.1	0.00	0.02	0.04
 North Carolina	0.02		5.4		3.9	0.02	0.05	0.01
Harvard	0.25	0.01	3.5	7.2	4.6	0.25	0.32	0.20
UNC Greensboro	0.24	0.20	3.8	3.9	1.3	0.00	0.00	0.95
Duke	0.23	0.01	2.7	5.3	4.1	0.19	0.19	0.34
U of Maryland, College Park	0.23	0.18	5.7	5.9	1.5	0.02	0.95	0.02
 Maryland	0.10	0.08	4.5	4.8	1.5	0.01	0.38	0.01
 University of Maryland	0.07	0.05	7.6	7.7	1.6	0.01	0.29	0.01
